Age,mg25_ppm
64334,1124.640633
64335,1125.451798
64336,1125.321473
64337,1127.772351
64338,1124.787318
64339,1130.974465
64340,1173.534866
64341,1181.065046
64342,1124.522079
64343,1057.43315
64344,975.2529848
64345,896.2471039
64346,908.7161406
64347,971.6547166
64348,1019.229795
64349,977.5490047
64350,972.0517964
64351,1025.415079
64352,1157.439754
64353,1247.643571
64354,1248.090713
64355,1173.000314
64356,1188.081009
64357,1201.977064
64358,1271.984158
64359,1245.598577
64360,1195.163805
64361,1197.696873
64362,1250.973243
64363,1243.770352
64364,1206.878527
64365,1149.927133
64366,1077.703654
64367,1070.300101
64368,1132.108191
64369,1247.111149
64370,1324.360833
64371,1304.62275
64372,1218.863169
64373,1151.980917
64374,1119.275099
64375,1145.021522
64376,1200.506487
64377,1209.135038
64378,1171.451453
64379,1116.790297
64380,1077.753106
64381,1057.604445
64382,979.3312098
64383,879.5866037
64384,831.1813294
64385,866.6860607
64386,928.4708486
64387,890.001193
64388,842.078629
64389,835.0138758
64390,874.3333523
64391,913.6068767
64392,891.0396487
64393,894.0662214
64394,886.4622128
64395,849.7766747
64396,820.5559392
64397,811.3694242
64398,849.1030866
64399,875.9512653
64400,866.4705188
64401,861.8321089
64402,845.2229141
64403,850.1089722
64404,912.5835013
64405,988.6394068
64406,1042.93172
64407,1034.764597
64408,1005.110267
64409,1006.948073
64410,1045.661552
64411,1052.123659
64412,1033.500375
64413,960.6105589
64414,891.0126972
64415,835.6222568
64416,846.4677099
64417,909.0110311
64418,953.1738507
64419,981.9595348
64420,984.0159067
64421,989.9116548
64422,1010.781012
64423,991.5193441
64424,978.8154412
64425,985.9867709
64426,1030.70269
64427,1077.55521
64428,1086.262506
64429,1079.04371
64430,1044.543654
64431,1024.160999
64432,1002.422409
64433,996.6033314
64434,1020.213578
64435,1015.080163
64436,988.1538363
64437,983.7459362
64438,993.8138429
64439,1011.657666
64440,980.5497312
64441,1017.941232
64442,1054.668795
64443,1081.519433
64444,1065.469491
64445,1044.603586
64446,1063.076423
64447,1076.337593
64448,1042.268238
64449,1028.51084
64450,1035.584703
64451,1048.385768
64452,1055.929251
64453,1039.868144
64454,1065.392963
64455,1101.484346
64456,1133.320998
64457,1119.16859
64458,1099.543697
64459,1082.060503
64460,1076.651723
64461,1056.540861
64462,1048.773086
64463,1026.963888
64464,1039.336685
64465,1047.147192
64466,1062.090486
64467,1044.160485
64468,994.4902101
64469,974.2249285
64470,975.3309863
64471,973.0996738
64472,972.2479333
64473,942.363464
64474,977.8503981
64475,994.238811
64476,963.3212401
64477,937.0210138
64478,891.5726057
64479,860.2981504
64480,911.4662954
64481,945.8153061
64482,1016.562691
64483,1062.405614
64484,1059.743594
64485,1065.948247
64486,1109.895844
64487,1132.197907
64488,1153.914016
64489,1094.12369
64490,1014.706063
64491,959.9402323
64492,944.186611
64493,956.0333874
64494,972.0287387
64495,1001.952793
64496,1034.203402
64497,1024.957596
64498,956.9906283
64499,869.1733634
64500,839.0593504
64501,899.291659
64502,981.4365381
64503,1028.793038
64504,1018.253016
64505,1012.401864
64506,1044.022044
64507,1011.82626
64508,906.4830382
64509,822.6676755
64510,810.6105231
64511,869.9814016
64512,922.5459805
64513,857.8713388
64514,863.7779695
64515,942.072059
64516,998.4043429
64517,975.1240175
64518,876.7225553
64519,841.3386946
64520,911.5292613
64521,893.2468192
64522,868.8083112
64523,887.1670906
64524,981.1198138
64525,1035.085682
64526,979.2299183
64527,881.4413027
64528,797.7094176
64529,745.7735365
64530,751.4968398
64531,746.0482575
64532,740.170981
64533,796.9745453
64534,911.9686137
64535,983.3568303
64536,907.9966029
64537,747.5043899
64538,660.0699422
64539,701.5828378
64540,768.6895111
64541,772.8739636
64542,749.616026
64543,745.69658
64544,754.5093225
64545,757.5735244
64546,779.0942878
64547,836.9294754
64548,880.4566567
64549,832.4794047
64550,721.2479407
64551,615.8833399
64552,671.8808981
64553,788.4333742
64554,854.2378298
64555,876.5734036
64556,868.446263
64557,866.9489885
64558,950.0914751
64559,1025.561778
64560,1074.197209
64561,1031.083587
64562,914.62742
64563,824.5089707
64564,806.2925874
64565,787.2531382
64566,770.1530618
64567,790.7304025
64568,801.9119816
64569,803.4777763
64570,797.7185321
64571,854.8115221
64572,909.4982557
64573,895.4935918
64574,806.9317558
64575,704.8047639
64576,665.1486027
64577,681.5276461
64578,694.5866827
64579,687.102445
64580,642.58538
64581,590.1589592
64582,577.840174
64583,622.1510976
64584,695.2001698
64585,738.8058446
64586,739.5700337
64587,768.2509884
64588,867.6810917
64589,926.2633023
64590,883.2639341
64591,763.9675916
64592,661.5443542
64593,627.4409783
64594,598.9119319
64595,573.7559
64596,617.2935587
64597,690.7251179
64598,715.3811837
64599,686.8660551
64600,633.3839322
64601,636.4389393
64602,776.7737682
64603,908.7802078
64604,950.1733375
64605,867.079495
64606,721.7696436
64607,615.3904903
64608,618.8475991
64609,677.576942
64610,727.7472455
64611,711.2346435
64612,653.2536715
64613,619.7849136
64614,666.7002169
64615,663.4312974
64616,637.101286
64617,648.6655447
64618,678.8589194
64619,725.5789497
64620,769.3307016
64621,804.0653398
64622,889.1723292
64623,964.0841657
64624,960.9551469
64625,888.8805002
64626,785.5710895
64627,741.105523
64628,745.6560606
64629,746.8646889
64630,725.4544032
64631,715.9419141
64632,747.7916815
64633,774.5736907
64634,794.8407943
64635,847.4349437
64636,945.0040325
64637,1011.994493
64638,944.3672704
64639,765.6184745
64640,631.7307572
64641,615.3618343
64642,701.8480875
64643,754.3643751
64644,776.4092576
64645,803.3790695
64646,882.3451633
64647,961.8780871
64648,947.0223209
64649,850.3782063
64650,754.5015546
64651,672.0799041
64652,637.9473794
64653,609.6870336
64654,639.1365386
64655,709.7393119
64656,786.6430713
64657,828.5619321
64658,818.3620536
64659,778.647682
64660,747.0978913
64661,747.7978223
64662,761.2542895
64663,785.9372945
64664,839.7173163
64665,901.5973544
64666,946.7673818
64667,997.8343637
64668,1032.27693
64669,1056.2442
64670,1059.006351
64671,1046.584853
64672,1053.805341
64673,1100.171444
64674,1123.474926
64675,1131.623115
64676,1122.575583
64677,1134.205096
64678,1149.946464
64679,1131.054379
64680,1093.447289
64681,1077.557863
64682,1066.685145
64683,1063.026606
64684,1044.824952
64685,1021.770065
64686,1008.57857
64687,1014.948335
64688,1043.765262
64689,1058.086031
64690,1029.945136
64691,966.5046941
64692,913.53945
64693,927.2967828
64694,912.5612779
64695,894.2751885
64696,875.3987705
64697,840.0237793
64698,801.6729999
64699,772.4948405
64700,773.4442361
64701,825.8799855
64702,846.1769257
64703,851.6182166
64704,831.5749403
64705,803.1043157
64706,783.5387377
64707,808.2782829
64708,853.260798
64709,872.1053122
64710,843.812077
64711,819.2608743
64712,812.6892625
64713,853.5276777
64714,902.6246572
64715,918.8887893
64716,915.8413796
64717,879.3277548
64718,821.6469739
64719,761.625148
64720,743.2483329
64721,807.0519809
64722,901.3996001
64723,939.3489756
64724,915.8194871
64725,918.9226719
64726,987.0494189
64727,970.8207635
64728,873.8821989
64729,737.9690125
64730,679.5006261
64731,711.1514147
64732,713.6967269
64733,731.0621003
64734,751.9578512
64735,772.6109641
64736,788.3396594
64737,801.2834944
64738,830.8669506
64739,873.8618858
64740,895.5341254
64741,850.0693472
64742,786.9105601
64743,750.4336729
64744,729.4899956
64745,683.4028028
64746,691.2967529
64747,799.3685645
64748,917.8944165
64749,939.0918843
64750,884.5559669
64751,883.8966873
64752,988.8460423
64753,1026.126824
64754,971.8330052
64755,851.3337732
64756,781.1722807
64757,782.3015007
64758,773.1210568
64759,801.4003195
64760,844.0156144
64761,878.1239893
64762,881.3948909
64763,855.9576014
64764,834.0439463
64765,828.8198367
64766,832.7495514
64767,818.2972404
64768,779.5170829
64769,723.7053294
64770,700.7960232
64771,704.2813833
64772,696.1185825
64773,698.3596056
64774,684.5738858
64775,678.4106819
64776,658.4125591
64777,645.0002644
64778,671.7145468
64779,718.0925824
64780,765.2919845
64781,774.8516107
64782,766.6357009
64783,755.7228362
64784,750.7553107
64785,749.8369432
64786,755.0544488
64787,790.1967861
64788,825.2941559
64789,818.9222521
64790,784.6471991
64791,744.4318519
64792,725.1778143
64793,695.407683
64794,663.9886013
64795,659.8464984
64796,676.6585143
64797,698.5278988
64798,728.3446556
64799,760.6222701
64800,774.0998489
64801,769.6371702
64802,763.3733687
64803,777.4548947
64804,763.8531852
64805,711.1247635
64806,667.6146646
64807,648.8886215
64808,649.7133558
64809,641.5813678
64810,631.8761979
64811,626.6471321
64812,631.0856524
64813,644.8144764
64814,658.3828552
64815,668.8763786
64816,674.6220383
64817,704.1192978
64818,759.791934
64819,773.0094322
64820,735.7544825
64821,715.1434989
64822,748.5905167
64823,772.3348295
64824,759.0479832
64825,749.0568279
64826,781.9342093
64827,820.257789
64828,840.5422212
64829,825.0473247
64830,793.0000484
64831,784.4655179
64832,765.9229853
64833,781.686024
64834,830.6269418
64835,863.2208447
64836,844.4650914
64837,799.7306282
64838,811.7529008
64839,838.9337217
64840,851.294169
64841,847.971134
64842,844.6848172
64843,835.0394801
64844,826.0796649
64845,830.1644454
64846,834.5944842
64847,844.2020774
64848,850.6287227
64849,865.5304849
64850,868.3979187
64851,857.2534711
64852,852.4182186
64853,851.3866209
64854,846.760951
64855,843.056282
64856,845.802442
64857,843.2974231
64858,836.2154841
64859,835.7178224
64860,846.899056
